season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2019,women,2019-06-20,Russia W,Netherlands W,0,3,0,https://www.flashscore.com/match/SUvW5VRT/#/match-summary,12,25,25,27,17,25,,,,
2019,women,2019-06-20,Belgium W,Italy W,3,2,1,https://www.flashscore.com/match/Y7uS6BCN/#/match-summary,12,25,25,20,16,25,25.0,14.0,15.0,10.0
2019,women,2019-06-20,China W,Serbia W,3,0,1,https://www.flashscore.com/match/K4yO7icH/#/match-summary,25,16,25,17,25,17,,,,
2019,women,2019-06-20,Thailand W,USA W,0,3,0,https://www.flashscore.com/match/xtnJ8XsB/#/match-summary,13,25,20,25,17,25,,,,
2019,women,2019-06-20,Germany W,Bulgaria W,3,0,1,https://www.flashscore.com/match/jPmBAgDb/#/match-summary,25,21,25,20,25,13,,,,
2019,women,2019-06-20,South Korea W,Poland W,3,1,1,https://www.flashscore.com/match/bkmF9DS4/#/match-summary,25,8,22,25,25,20,25.0,16.0,,
2019,women,2019-06-20,Japan W,Dominican Republic W,2,3,0,https://www.flashscore.com/match/CYl7BZch/#/match-summary,17,25,23,25,26,24,28.0,26.0,10.0,15.0
2019,women,2019-06-19,Italy W,Turkey W,3,2,1,https://www.flashscore.com/match/U9a2CFrn/#/match-summary,25,19,17,25,23,25,25.0,15.0,16.0,14.0
2019,women,2019-06-19,Russia W,Thailand W,1,3,0,https://www.flashscore.com/match/G6ebDeTu/#/match-summary,25,19,13,25,17,25,22.0,25.0,,
2019,women,2019-06-19,Belgium W,Brazil W,0,3,0,https://www.flashscore.com/match/voKhhCcU/#/match-summary,23,25,15,25,18,25,,,,
2019,women,2019-06-19,China W,Bulgaria W,3,0,1,https://www.flashscore.com/match/0fLlghrO/#/match-summary,25,18,25,19,25,16,,,,
2019,women,2019-06-19,Netherlands W,USA W,2,3,0,https://www.flashscore.com/match/rJQqfYSH/#/match-summary,21,25,25,23,25,22,26.0,28.0,9.0,15.0
2019,women,2019-06-19,Serbia W,Germany W,1,3,0,https://www.flashscore.com/match/A5Sydfb5/#/match-summary,14,25,20,25,25,23,17.0,25.0,,
2019,women,2019-06-19,South Korea W,Japan W,3,0,1,https://www.flashscore.com/match/4SRueEDB/#/match-summary,25,18,25,18,25,23,,,,
2019,women,2019-06-19,Poland W,Dominican Republic W,3,2,1,https://www.flashscore.com/match/CK9Ydzqa/#/match-summary,25,18,25,20,23,25,22.0,25.0,17.0,15.0
2019,women,2019-06-18,Turkey W,Belgium W,1,3,0,https://www.flashscore.com/match/UeKTcGTh/#/match-summary,27,25,24,26,21,25,23.0,25.0,,
2019,women,2019-06-18,Russia W,USA W,0,3,0,https://www.flashscore.com/match/j5LPbdEn/#/match-summary,23,25,17,25,18,25,,,,
2019,women,2019-06-18,Brazil W,Italy W,3,0,1,https://www.flashscore.com/match/MVGLaxat/#/match-summary,25,21,25,20,25,23,,,,
2019,women,2019-06-18,China W,Germany W,3,0,1,https://www.flashscore.com/match/KMUg4IjP/#/match-summary,25,19,25,16,25,15,,,,
2019,women,2019-06-18,Netherlands W,Thailand W,3,0,1,https://www.flashscore.com/match/IHjBuZDO/#/match-summary,25,18,25,20,25,16,,,,
2019,women,2019-06-18,Bulgaria W,Serbia W,3,1,1,https://www.flashscore.com/match/Aim3seqC/#/match-summary,21,25,25,21,25,17,25.0,23.0,,
2019,women,2019-06-18,South Korea W,Dominican Republic W,1,3,0,https://www.flashscore.com/match/4En7tFbI/#/match-summary,19,25,25,20,24,26,28.0,30.0,,
2019,women,2019-06-18,Japan W,Poland W,1,3,0,https://www.flashscore.com/match/W0laryU5/#/match-summary,23,25,23,25,25,19,22.0,25.0,,
2019,women,2019-06-13,Germany W,Netherlands W,2,3,0,https://www.flashscore.com/match/jkX1qHEa/#/match-summary,25,21,23,25,25,20,13.0,25.0,14.0,16.0
2019,women,2019-06-13,Italy W,Russia W,3,1,1,https://www.flashscore.com/match/CbYcpcag/#/match-summary,22,25,25,21,25,15,25.0,21.0,,
2019,women,2019-06-13,Belgium W,Dominican Republic W,2,3,0,https://www.flashscore.com/match/IyZgowpm/#/match-summary,25,21,22,25,25,21,14.0,25.0,11.0,15.0
2019,women,2019-06-13,South Korea W,Bulgaria W,1,3,0,https://www.flashscore.com/match/4YUknJUt/#/match-summary,25,20,23,25,19,25,24.0,26.0,,
2019,women,2019-06-13,China W,USA W,0,3,0,https://www.flashscore.com/match/bihNjaMP/#/match-summary,17,25,22,25,21,25,,,,
2019,women,2019-06-13,Japan W,Thailand W,3,0,1,https://www.flashscore.com/match/K0gJiu7J/#/match-summary,25,22,25,22,25,14,,,,
2019,women,2019-06-13,Turkey W,Poland W,3,2,1,https://www.flashscore.com/match/Wp0yTeUI/#/match-summary,22,25,18,25,25,16,25.0,20.0,15.0,12.0
2019,women,2019-06-13,Brazil W,Serbia W,3,0,1,https://www.flashscore.com/match/hf1XTyFC/#/match-summary,25,23,25,21,25,15,,,,
2019,women,2019-06-12,Germany W,Belgium W,3,1,1,https://www.flashscore.com/match/AVBSUHa6/#/match-summary,25,21,25,23,24,26,25.0,16.0,,
2019,women,2019-06-12,Italy W,South Korea W,3,1,1,https://www.flashscore.com/match/be8OVcp0/#/match-summary,25,17,25,21,23,25,25.0,13.0,,
2019,women,2019-06-12,Dominican Republic W,Netherlands W,0,3,0,https://www.flashscore.com/match/4Y8KWwVg/#/match-summary,18,25,21,25,19,25,,,,
2019,women,2019-06-12,Bulgaria W,Russia W,0,3,0,https://www.flashscore.com/match/QsAGXJFm/#/match-summary,20,25,23,25,16,25,,,,
2019,women,2019-06-12,China W,Turkey W,3,0,1,https://www.flashscore.com/match/86FBYa0s/#/match-summary,26,24,25,19,25,21,,,,
2019,women,2019-06-12,Japan W,Serbia W,3,1,1,https://www.flashscore.com/match/WthrjSVE/#/match-summary,19,25,25,14,25,23,25.0,14.0,,
2019,women,2019-06-12,Poland W,USA W,1,3,0,https://www.flashscore.com/match/xKhvi8G8/#/match-summary,25,21,23,25,15,25,11.0,25.0,,
2019,women,2019-06-12,Brazil W,Thailand W,3,0,1,https://www.flashscore.com/match/OGlzhl12/#/match-summary,25,19,25,17,25,21,,,,
2019,women,2019-06-11,Germany W,Dominican Republic W,3,1,1,https://www.flashscore.com/match/KrOgqdc2/#/match-summary,25,19,14,25,25,19,25.0,21.0,,
2019,women,2019-06-11,Italy W,Bulgaria W,3,0,1,https://www.flashscore.com/match/thPkpxrd/#/match-summary,25,19,25,23,25,20,,,,
2019,women,2019-06-11,Belgium W,Netherlands W,3,2,1,https://www.flashscore.com/match/nHAnoISk/#/match-summary,22,25,23,25,25,17,25.0,19.0,15.0,10.0
2019,women,2019-06-11,Russia W,South Korea W,3,1,1,https://www.flashscore.com/match/8QBrnbDq/#/match-summary,25,23,15,25,25,20,25.0,17.0,,
2019,women,2019-06-11,China W,Poland W,3,0,1,https://www.flashscore.com/match/2qZFjv5S/#/match-summary,25,12,25,18,25,22,,,,
2019,women,2019-06-11,Japan W,Brazil W,1,3,0,https://www.flashscore.com/match/ltVBiKkM/#/match-summary,17,25,19,25,25,20,22.0,25.0,,
2019,women,2019-06-11,USA W,Turkey W,0,3,0,https://www.flashscore.com/match/fJV7h0zG/#/match-summary,15,25,17,25,25,27,,,,
2019,women,2019-06-11,Serbia W,Thailand W,0,3,0,https://www.flashscore.com/match/GSW3gtL9/#/match-summary,22,25,23,25,21,25,,,,
2019,women,2019-06-06,USA W,Brazil W,1,3,0,https://www.flashscore.com/match/bixafM53/#/match-summary,19,25,17,25,25,22,20.0,25.0,,
2019,women,2019-06-06,Germany W,South Korea W,3,0,1,https://www.flashscore.com/match/K0wee2jc/#/match-summary,25,15,25,22,25,16,,,,
2019,women,2019-06-06,Belgium W,Serbia W,3,0,1,https://www.flashscore.com/match/6ckDWIDd/#/match-summary,25,21,25,21,25,14,,,,
2019,women,2019-06-06,Poland W,Russia W,3,2,1,https://www.flashscore.com/match/fNo9Xbbj/#/match-summary,25,23,24,26,25,27,25.0,20.0,15.0,9.0
2019,women,2019-06-06,China W,Italy W,3,2,1,https://www.flashscore.com/match/Cbd4Yvqp/#/match-summary,18,25,22,25,25,23,26.0,24.0,15.0,13.0
2019,women,2019-06-06,Thailand W,Turkey W,0,3,0,https://www.flashscore.com/match/AkAxwLzT/#/match-summary,16,25,18,25,13,25,,,,
2019,women,2019-06-06,Japan W,Netherlands W,3,0,1,https://www.flashscore.com/match/tG5Yw1LM/#/match-summary,25,17,25,17,25,21,,,,
