season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2019,women,2019-06-13,Turkey,Poland,3,2,1,22,25,18,25,25,16,25.0,20.0,15.0,12.0,https://www.flashscore.com/match/Wp0yTeUI/#/match-summary
2019,women,2019-06-13,Brazil,Serbia,3,0,1,25,23,25,21,25,15,,,,,https://www.flashscore.com/match/hf1XTyFC/#/match-summary
2019,women,2019-06-12,Germany,Belgium,3,1,1,25,21,25,23,24,26,25.0,16.0,,,https://www.flashscore.com/match/AVBSUHa6/#/match-summary
2019,women,2019-06-12,Italy,South Korea,3,1,1,25,17,25,21,23,25,25.0,13.0,,,https://www.flashscore.com/match/be8OVcp0/#/match-summary
2019,women,2019-06-12,Dominican Republic,Netherlands,0,3,0,18,25,21,25,19,25,,,,,https://www.flashscore.com/match/4Y8KWwVg/#/match-summary
2019,women,2019-06-12,Bulgaria,Russia,0,3,0,20,25,23,25,16,25,,,,,https://www.flashscore.com/match/QsAGXJFm/#/match-summary
2019,women,2019-06-12,China,Turkey,3,0,1,26,24,25,19,25,21,,,,,https://www.flashscore.com/match/86FBYa0s/#/match-summary
2019,women,2019-06-12,Japan,Serbia,3,1,1,19,25,25,14,25,23,25.0,14.0,,,https://www.flashscore.com/match/WthrjSVE/#/match-summary
2019,women,2019-06-12,Poland,USA,1,3,0,25,21,23,25,15,25,11.0,25.0,,,https://www.flashscore.com/match/xKhvi8G8/#/match-summary
2019,women,2019-06-12,Brazil,Thailand,3,0,1,25,19,25,17,25,21,,,,,https://www.flashscore.com/match/OGlzhl12/#/match-summary
2019,women,2019-06-11,Germany,Dominican Republic,3,1,1,25,19,14,25,25,19,25.0,21.0,,,https://www.flashscore.com/match/KrOgqdc2/#/match-summary
2019,women,2019-06-11,Italy,Bulgaria,3,0,1,25,19,25,23,25,20,,,,,https://www.flashscore.com/match/thPkpxrd/#/match-summary
2019,women,2019-06-11,Belgium,Netherlands,3,2,1,22,25,23,25,25,17,25.0,19.0,15.0,10.0,https://www.flashscore.com/match/nHAnoISk/#/match-summary
2019,women,2019-06-11,Russia,South Korea,3,1,1,25,23,15,25,25,20,25.0,17.0,,,https://www.flashscore.com/match/8QBrnbDq/#/match-summary
